file_name,dispatch_count,sp_call_count,matched_dispatch,network_score,public_action_count,injected_dep_count,async_action_count,sp_names
Ctrl058Controller.cs,6,6,6,0,3,1,0,CORP.PKG_009.SP_009_070|CORP.PKG_009.SP_009_071|CORP.PKG_009.SP_009_072|CORP.PKG_009.SP_009_073|CORP.PKG_009.SP_009_011|CORP.PKG_008.SP_008_007|CORP.PKG_008.SP_008_006|CORP.PKG_008.SP_008_008|CORP.PKG_008.SP_008_005|CORP.PKG_009.SP_009_039|CORP.PKG_009.SP_009_040|CORP.PKG_009.SP_009_041|CORP.PKG_009.SP_009_042|CORP.PKG_009.SP_009_043
Ctrl059Controller.cs,8,8,8,0,6,0,0,CORP.PKG_009.SP_009_093|CORP.PKG_009.SP_009_094|CORP.PKG_009.SP_009_070|CORP.PKG_009.SP_009_071|CORP.PKG_009.SP_009_072|CORP.PKG_009.SP_009_073|CORP.PKG_009.SP_009_011|CORP.PKG_008.SP_008_007|CORP.PKG_008.SP_008_006|CORP.PKG_008.SP_008_008|CORP.PKG_008.SP_008_005|CORP.PKG_009.SP_009_039|CORP.PKG_009.SP_009_040|CORP.PKG_009.SP_009_041|CORP.PKG_009.SP_009_042|CORP.PKG_009.SP_009_043
Ctrl060Controller.cs,7,"6,8",7,0,4,1,0,CORP.PKG_009.SP_009_017|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002|CORP.PKG_011.SP_011_001|CORP.PKG_011.SP_011_032|CORP.PKG_011.SP_011_006|CORP.PKG_011.SP_011_164|CORP.PKG_011.SP_011_041|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122|CORP.PKG_011.SP_011_004|CORP.PKG_011.SP_011_156|CORP.PKG_011.SP_011_021|CORP.PKG_011.SP_011_020|CORP.PKG_011.SP_011_035
Ctrl061Controller.cs,66,"49,8",55,0,62,0,0,CORP.PKG_011.SP_011_001|CORP.PKG_011.SP_011_032|CORP.PKG_011.SP_011_002|CORP.PKG_011.SP_011_015|CORP.PKG_011.SP_011_033|CORP.PKG_011.SP_011_003|CORP.PKG_011.SP_011_019|CORP.PKG_011.SP_011_034|CORP.PKG_011.SP_011_113|CORP.PKG_011.SP_011_114|CORP.PKG_011.SP_011_016|CORP.PKG_011.SP_011_017|CORP.PKG_011.SP_011_018|CORP.PKG_011.SP_011_159|CORP.PKG_011.SP_011_004|CORP.PKG_011.SP_011_156|CORP.PKG_011.SP_011_021|CORP.PKG_011.SP_011_020|CORP.PKG_011.SP_011_035|CORP.PKG_011.SP_011_008|CORP.PKG_011.SP_011_007|CORP.PKG_011.SP_011_011|CORP.PKG_011.SP_011_005|CORP.PKG_011.SP_011_023|CORP.PKG_011.SP_011_024|CORP.PKG_011.SP_011_036|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122|CORP.PKG_011.SP_011_025|CORP.PKG_011.SP_011_030|CORP.PKG_011.SP_011_031|CORP.PKG_011.SP_011_038|CORP.PKG_015.SP_015_001|CORP.PKG_015.SP_015_003|CORP.PKG_015.SP_015_004|CORP.PKG_015.SP_015_009|CORP.PKG_015.SP_015_002|CORP.PKG_015.SP_015_008|CORP.PKG_015.SP_015_010|CORP.PKG_015.SP_015_011|CORP.PKG_011.SP_011_012|CORP.PKG_011.SP_011_013|CORP.PKG_011.SP_011_014|CORP.PKG_011.SP_011_083|CORP.PKG_011.SP_011_042|CORP.PKG_011.SP_011_043|CORP.PKG_011.SP_011_044|CORP.PKG_011.SP_011_046|CORP.PKG_011.SP_011_045|CORP.PKG_009.SP_009_096|CORP.PKG_009.SP_009_103|CORP.PKG_009.SP_009_003|CORP.PKG_009.SP_009_002
Ctrl062Controller.cs,2,1,2,0,6,0,0,CORP.PKG_009.SP_009_062|CORP.PKG_023.SP_023_035
Ctrl063Controller.cs,6,"5,8",6,0,6,0,0,CORP.PKG_011.SP_011_105|CORP.PKG_011.SP_011_104|CORP.PKG_011.SP_011_106|CORP.PKG_011.SP_011_006|CORP.PKG_011.SP_011_164|CORP.PKG_011.SP_011_041|CORP.PKG_011.SP_011_026|CORP.PKG_011.SP_011_027|CORP.PKG_011.SP_011_028|CORP.PKG_011.SP_011_029|CORP.PKG_011.SP_011_037|CORP.PKG_011.SP_011_122
Ctrl064Controller.cs,3,3,3,0,2,0,0,CORP.PKG_019.SP_019_001|CORP.PKG_019.SP_019_022|CORP.PKG_010.SP_010_004|CORP.PKG_010.SP_010_020|CORP.PKG_010.SP_010_021
Ctrl065Controller.cs,5,"6,2",5,0,7,0,0,CORP.PKG_011.SP_011_066|CORP.PKG_011.SP_011_070|CORP.PKG_011.SP_011_067|CORP.PKG_011.SP_011_065|CORP.PKG_011.SP_011_064
Ctrl066Controller.cs,2,"1,2",2,0,3,0,0,CORP.PKG_023.SP_023_007|CORP.PKG_011.SP_011_003|CORP.PKG_011.SP_011_019|CORP.PKG_011.SP_011_034|CORP.PKG_011.SP_011_113|CORP.PKG_011.SP_011_114
Ctrl067Controller.cs,5,"4,7",5,0,2,1,0,CORP.PKG_009.SP_009_056|CORP.PKG_009.SP_009_055|CORP.PKG_009.SP_009_059|CORP.PKG_009.SP_009_060|CORP.PKG_009.SP_009_057|CORP.PKG_009.SP_009_053|CORP.PKG_009.SP_009_054|CORP.PKG_012.SP_012_057|CORP.PKG_012.SP_012_058|CORP.PKG_012.SP_012_053|CORP.PKG_012.SP_012_052|CORP.PKG_012.SP_012_040|CORP.PKG_012.SP_012_051|CORP.PKG_012.SP_012_042|CORP.PKG_011.SP_011_146|CORP.PKG_012.SP_012_017|CORP.PKG_012.SP_012_018|CORP.PKG_012.SP_012_007|CORP.PKG_012.SP_012_002|CORP.PKG_012.SP_012_003|CORP.PKG_012.SP_012_006
